MTime;Miner;Message;BlockNr;Hash
10-24-12:31:57.868;miner10;🔨 mined potential block                 ;309;3cc6dc…078678
10-24-12:31:58.871;miner9;🔨 mined potential block                 ;310;e398f9…83698c
10-24-12:31:59.616;miner6;🔨 mined potential block                 ;311;031714…5d45a8
10-24-12:32:00.148;miner1;🔨 mined potential block                 ;312;9fdfb9…2630b5
10-24-12:32:00.570;miner7;🔨 mined potential block                 ;313;84f7c8…3b715f
10-24-12:32:01.257;miner2;🔨 mined potential block                 ;313;90c445…982d29
10-24-12:32:01.611;miner5;🔨 mined potential block                 ;313;82c736…53395d
10-24-12:32:02.312;miner10;🔨 mined potential block                 ;313;1bbf09…a1cf7a
10-24-12:32:02.524;miner4;🔨 mined potential block                 ;313;d2ca6b…cb9eb0
10-24-12:32:03.036;miner9;🔨 mined potential block                 ;314;9f4cec…366b30
10-24-12:32:03.134;miner5;🔨 mined potential block                 ;315;ac2161…d9f7d9
10-24-12:32:03.735;miner8;🔨 mined potential block                 ;315;efadbc…3a128c
10-24-12:32:03.909;miner6;🔨 mined potential block                 ;316;c9568a…750551
10-24-12:32:04.032;miner7;🔨 mined potential block                 ;317;b333be…bc451c
10-24-12:32:04.449;miner1;🔨 mined potential block                 ;316;d5886f…77c996
